Farfield Name,Separation S1-S2,Separation S2-S3,Peak,Peak %ch,P-to-P,P-to-P %ch,P/B,P/B %ch,X-corr,AvgdB,MaxdB,MaxPhase,Dropout Legal,X-corr Legal
3150T__035_2000_095_110,95,110,69.1,0.3,128.2,-3.0,49.1,-6.6,0.9958,0.2,0.4,2.7460000000000004,False,yellow
3150T__035_2000_095_115,95,115,69.1,0.3,128.1,-3.0,49.0,-6.9,0.9952,0.22,0.4,3.0,False,yellow
3150T__035_2000_095_120,95,120,69.1,0.3,128.1,-3.0,48.8,-7.3,0.9948,0.23,0.5,3.247,False,yellow
3150T__035_2000_100_040,100,40,68.9,-0.0,130.8,-1.0,54.2,3.1,0.9926,0.29,0.6,3.963,False,yellow
3150T__035_2000_100_045,100,45,69.1,0.3,131.7,-0.3,54.0,2.5,0.9944,0.22,0.4,2.7110000000000003,False,yellow
3150T__035_2000_100_050,100,50,69.2,0.5,132.3,0.2,53.9,2.4,0.9962,0.15,0.3,1.703,False,green
3150T__035_2000_100_055,100,55,69.2,0.5,132.4,0.3,53.5,1.6,0.9978,0.1,0.2,1.1340000000000001,False,green
3150T__035_2000_100_060,100,60,69.2,0.4,132.3,0.2,53.0,0.7,0.9989,0.06,0.1,0.758,True,green
3150T__035_2000_100_065,100,65,69.1,0.3,131.9,-0.2,52.4,-0.4,0.9996,0.03,0.1,0.856,True,green
3150T__035_2000_100_070,100,70,69.1,0.2,131.4,-0.5,51.9,-1.4,0.9998,0.04,0.1,1.0,True,green
