Separation S1-S2,Separation S2-S3,X-corr,tick
83.0,43.0,0.995585123534318,1.0
84.0,43.0,0.9955192900643586,1.0
85.0,43.0,0.9954436799571753,1.0
86.0,43.0,0.9953577796365984,1.0
87.0,43.0,0.9952631932672121,1.0
88.0,43.0,0.9951620544487884,1.0
89.0,43.0,0.9950564967810989,1.0
90.0,43.0,0.9949486538639162,2.0
91.0,43.0,0.9948398557661216,2.0
92.0,43.0,0.9947282184330359,2.0
93.0,43.0,0.9946110542790872,2.0
94.0,43.0,0.9944856757187052,2.0
95.0,43.0,0.9943493951663199,2.0
96.0,43.0,0.9942005859551797,2.0
97.0,43.0,0.9940418650938132,2.0
98.0,43.0,0.9938769105095683,2.0
99.0,43.0,0.9937094001297926,2.0
100.0,43.0,0.9935430118818351,2.0
101.0,43.0,0.9933805816092434,2.0
102.0,43.0,0.993221576820367,2.0
103.0,43.0,0.9930646229397554,2.0
104.0,43.0,0.992908345391958,2.0
105.0,43.0,0.9927513696015245,2.0
106.0,43.0,0.9925927001994428,2.0
107.0,43.0,0.9924328586424542,2.0
108.0,43.0,0.9922727455937382,2.0
109.0,43.0,0.9921132617164746,2.0
110.0,43.0,0.9919553076738432,2.0
111.0,43.0,0.9917995808472516,2.0
112.0,43.0,0.9916459654910174,2.0
113.0,43.0,0.9914941425776871,2.0
114.0,43.0,0.9913437930798065,2.0
115.0,43.0,0.9911945979699215,2.0
116.0,43.0,0.9910462382205787,2.0
117.0,43.0,0.9908983948043236,2.0
118.0,43.0,0.9907507486937019,2.0
119.0,43.0,0.99060298086126,2.0
120.0,43.0,0.990454772279544,2.0
40.0,44.0,0.9816258956186249,2.0
41.0,44.0,0.9823046553138554,2.0
42.0,44.0,0.9829702899257771,2.0
43.0,44.0,0.9836235521907576,2.0
44.0,44.0,0.9842651948451648,2.0
45.0,44.0,0.9848959706253666,2.0
46.0,44.0,0.9855166322677311,2.0
47.0,44.0,0.986127932508626,2.0
48.0,44.0,0.9867306240844192,2.0
49.0,44.0,0.9873254597314789,2.0
50.0,44.0,0.9879131921861726,2.0
51.0,44.0,0.9884935503402136,2.0
52.0,44.0,0.9890621677066943,2.0
53.0,44.0,0.9896136539540537,2.0
54.0,44.0,0.9901426187507281,2.0
55.0,44.0,0.9906436717651568,2.0
56.0,44.0,0.9911130488817034,2.0
57.0,44.0,0.9915534908484376,2.0
58.0,44.0,0.9919693646293546,2.0
59.0,44.0,0.9923650371884505,2.0
60.0,44.0,0.9927448754897206,2.0
61.0,44.0,0.9931119386501657,2.0
62.0,44.0,0.9934640543988055,2.0
63.0,44.0,0.9937977426176648,2.0
64.0,44.0,0.9941095231887682,2.0
65.0,44.0,0.9943959159941412,2.0
66.0,44.0,0.9946543536323921,2.0
67.0,44.0,0.9948859195684684,2.0
68.0,44.0,0.9950926099839008,1.0
69.0,44.0,0.9952764210602204,1.0
70.0,44.0,0.9954393489789587,1.0
71.0,44.0,0.995582820637798,1.0
72.0,44.0,0.9957059857990244,1.0
73.0,44.0,0.995807424941075,1.0
74.0,44.0,0.9958857185423866,1.0
75.0,44.0,0.9959394470813975,1.0
76.0,44.0,0.995968164822632,1.0
77.0,44.0,0.9959753211749683,1.0
78.0,44.0,0.9959653393333723,1.0
79.0,44.0,0.9959426424928093,1.0
80.0,44.0,0.9959116538482454,1.0
81.0,44.0,0.9958758236827657,1.0
82.0,44.0,0.9958347106319315,1.0
83.0,44.0,0.9957869004194221,1.0
84.0,44.0,0.9957309787689184,1.0
85.0,44.0,0.9956655314041004,1.0
86.0,44.0,0.9955897443356164,1.0
87.0,44.0,0.9955052047219866,1.0
88.0,44.0,0.9954141000086977,1.0
89.0,44.0,0.995318617641238,1.0
90.0,44.0,0.9952209450650953,1.0
91.0,44.0,0.9951224509293477,1.0
92.0,44.0,0.9950212286974369,1.0
93.0,44.0,0.9949145530363942,2.0
94.0,44.0,0.994799698613251,2.0
95.0,44.0,0.9946739400950404,2.0
96.0,44.0,0.9945356043220029,2.0
97.0,44.0,0.9943872268272216,2.0
98.0,44.0,0.9942323953169883,2.0
99.0,44.0,0.9940746974975949,2.0
100.0,44.0,0.9939177210753346,2.0
101.0,44.0,0.9937642684661186,2.0
102.0,44.0,0.9936140009243385,2.0
103.0,44.0,0.9934657944140061,2.0
104.0,44.0,0.9933185248991323,2.0
105.0,44.0,0.9931710683437285,2.0
106.0,44.0,0.9930225747230078,2.0
107.0,44.0,0.992873290056989,2.0
108.0,44.0,0.992723734376891,2.0
109.0,44.0,0.9925744277139342,2.0
110.0,44.0,0.992425890099339,2.0
111.0,44.0,0.9922785225014319,2.0
112.0,44.0,0.9921322496369653,2.0
113.0,44.0,0.9919868771597998,2.0
114.0,44.0,0.9918422107237959,2.0
115.0,44.0,0.9916980559828125,2.0
116.0,44.0,0.9915542185907106,2.0
117.0,44.0,0.9914105042013494,2.0
118.0,44.0,0.991266718468589,2.0
119.0,44.0,0.9911226670462893,2.0
120.0,44.0,0.9909781555883111,2.0
40.0,45.0,0.9824000000000003,2.0
41.0,45.0,0.983035952646427,2.0
42.0,45.0,0.9836639368619026,2.0
43.0,45.0,0.9842839447541651,2.0
44.0,45.0,0.9848959684309516,2.0
45.0,45.0,0.9854999999999999,2.0
46.0,45.0,0.9860960315690492,2.0
47.0,45.0,0.9866840552458356,2.0
48.0,45.0,0.9872640631380978,2.0
49.0,45.0,0.9878360473535734,2.0
50.0,45.0,0.9884000000000003,2.0
51.0,45.0,0.9889551210773782,2.0
52.0,45.0,0.9894974421547565,2.0
53.0,45.0,0.9900222026934458,2.0
54.0,45.0,0.9905246421547562,2.0
55.0,45.0,0.991,2.0
56.0,45.0,0.9914450841214392,2.0
57.0,45.0,0.9918629761351404,2.0
58.0,45.0,0.9922583260881223,2.0
59.0,45.0,0.9926357840274027,2.0
60.0,45.0,0.9930000000000002,2.0
61.0,45.0,0.993354142436866,2.0
62.0,45.0,0.9936954533046832,2.0
63.0,45.0,0.9940196929540673,2.0
64.0,45.0,0.9943226217356339,2.0
65.0,45.0,0.9945999999999996,2.0
66.0,45.0,0.9948487461310969,2.0
67.0,45.0,0.9950704106461273,1.0
68.0,45.0,0.9952677020956092,1.0
69.0,45.0,0.9954433290300605,1.0
70.0,45.0,0.9956000000000003,1.0
71.0,45.0,0.9957396730387457,1.0
72.0,45.0,0.9958613041108081,1.0
73.0,45.0,0.9959630986634974,1.0
74.0,45.0,0.9960432621441249,1.0
75.0,45.0,0.9960999999999999,1.0
76.0,45.0,0.9961325617139218,1.0
77.0,45.0,0.9961443729106425,1.0
78.0,45.0,0.9961399032504022,1.0
79.0,45.0,0.9961236223934412,1.0
80.0,45.0,0.9961000000000002,1.0
81.0,45.0,0.9960724801055677,1.0
82.0,45.0,0.9960404042466237,1.0
83.0,45.0,0.9960020883348957,1.0
84.0,45.0,0.9959558482821116,1.0
85.0,45.0,0.9959,1.0
86.0,45.0,0.9958335178638089,1.0
87.0,45.0,0.9957580101028656,1.0
88.0,45.0,0.995675743410018,1.0
89.0,45.0,0.9955889844781132,1.0
90.0,45.0,0.9955000000000003,1.0
91.0,45.0,0.995410248439198,1.0
92.0,45.0,0.9953179553419164,1.0
93.0,45.0,0.9952205380250355,1.0
94.0,45.0,0.9951154138054363,1.0
95.0,45.0,0.9950000000000003,1.0
96.0,45.0,0.9948726883793996,2.0
97.0,45.0,0.9947357685294713,2.0
98.0,45.0,0.9945925044898432,2.0
99.0,45.0,0.9944461603001433,2.0
100.0,45.0,0.9943000000000001,2.0
101.0,45.0,0.9941565980432044,2.0
102.0,45.0,0.9940157705402005,2.0
103.0,45.0,0.9938766440155938,2.0
104.0,45.0,0.9937383449939914,2.0
105.0,45.0,0.9936,2.0
106.0,45.0,0.9934609194477828,2.0
107.0,45.0,0.9933211493097285,2.0
108.0,45.0,0.9931809194477828,2.0
109.0,45.0,0.9930404597238911,2.0
110.0,45.0,0.9929000000000001,2.0
111.0,45.0,0.9927597241656657,2.0
112.0,45.0,0.9926196322208872,2.0
113.0,45.0,0.9924796781932763,2.0
114.0,45.0,0.9923398161104438,2.0
115.0,45.0,0.9922000000000003,2.0
116.0,45.0,0.992060183889557,2.0
117.0,45.0,0.9919203218067243,2.0
118.0,45.0,0.9917803677791134,2.0
119.0,45.0,0.9916402758343348,2.0
120.0,45.0,0.9915000000000002,2.0
40.0,46.0,0.9831661043813761,2.0
41.0,46.0,0.9837581389556836,2.0
42.0,46.0,0.9843480491002748,2.0
43.0,46.0,0.9849349344570383,2.0
44.0,46.0,0.9855178946678622,2.0
45.0,46.0,0.9860960293746343,2.0
46.0,46.0,0.9866684382192447,2.0
47.0,46.0,0.9872342208435805,2.0
48.0,46.0,0.987792476889531,2.0
49.0,46.0,0.9883423059989842,2.0
50.0,46.0,0.9888828078138286,2.0
51.0,46.0,0.9894125894423513,2.0
52.0,46.0,0.9899282878584345,2.0
53.0,46.0,0.9904260475023575,2.0
54.0,46.0,0.9909020128144005,2.0
55.0,46.0,0.9913523282348442,2.0
56.0,46.0,0.9917745375010677,2.0
57.0,46.0,0.9921717815388478,2.0
58.0,46.0,0.9925486005710595,2.0
59.0,46.0,0.9929095348205783,2.0
60.0,46.0,0.9932591245102802,2.0
61.0,46.0,0.9936003760361899,2.0
62.0,46.0,0.9939301604869307,2.0
63.0,46.0,0.9942438151242741,2.0
64.0,46.0,0.9945366772099926,2.0
65.0,46.0,0.9948040840058587,2.0
66.0,46.0,0.9950426892394177,1.0
67.0,46.0,0.9952544125013062,1.0
68.0,46.0,0.9954424898479335,1.0
69.0,46.0,0.9956101573357088,1.0
70.0,46.0,0.9957606510210423,1.0
71.0,46.0,0.9958963411886091,1.0
72.0,46.0,0.9960161350361464,1.0
73.0,46.0,0.9961180739896562,1.0
74.0,46.0,0.9962001994751406,1.0
75.0,46.0,0.996260552918603,1.0
